搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
公共事務與公民教育學系公民教育組,國立彰化師範大學公共事務與公民教育學系公民教育組(023262),7,不要求,35,1,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023262.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3513
公共事務與公民教育學系公民教育組,國立彰化師範大學公共事務與公民教育學系公民教育組(公費生)(023272),1,不要求,10,無,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023272.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3513
公共事務與公民教育學系公共事務組,國立彰化師範大學公共事務與公民教育學系公共事務組(023282),7,不要求,35,1,無,無,1200,112.05.27,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023282.htm?v=1.0,https://www.unews.com.tw/School/Department/13/3513
揚鷹招生A組（教社）,國立彰化師範大學揚鷹招生A組（教社）(023292),3,不要求,30,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023292.htm?v=1.0,https://www.unews.com.tw/School/Info/13
揚鷹招生B組（文）,國立彰化師範大學揚鷹招生B組（文）(023302),3,不要求,30,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023302.htm?v=1.0,https://www.unews.com.tw/School/Info/13
揚鷹招生C組（管理）,國立彰化師範大學揚鷹招生C組（管理）(023312),3,不要求,30,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023312.htm?v=1.0,https://www.unews.com.tw/School/Info/13
揚鷹招生D組（理）,國立彰化師範大學揚鷹招生D組（理）(023322),4,不要求,40,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023322.htm?v=1.0,https://www.unews.com.tw/School/Info/13
揚鷹招生E組（工）,國立彰化師範大學揚鷹招生E組（工）(023332),8,不要求,40,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023332.htm?v=1.0,https://www.unews.com.tw/School/Info/13
美術學系,國立彰化師範大學美術學系(023342),18,不要求,54,2,1,無,1200,112.05.26至112.05.27,美術,是,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023342.htm?v=1.0,https://www.unews.com.tw/School/Department/13/437
運動學系（競技運動組）,國立彰化師範大學運動學系（競技運動組）(023352),33,不要求,330,3,無,無,1200,112.05.24,體育,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023352.htm?v=1.0,https://www.unews.com.tw/School/Department/13/435
運動學系（運動健康組）,國立彰化師範大學運動學系（運動健康組）(023362),6,不要求,36,2,無,無,1200,112.05.23,體育,是,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_023362.htm?v=1.0,https://www.unews.com.tw/School/Department/13/435
