搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
建築與都市計畫學系（第二類組）,中華大學建築與都市計畫學系（第二類組）(043232),17,不要求,51,2,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043232.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3475
景觀建築學系景觀設計組,中華大學景觀建築學系景觀設計組(043242),12,不要求,48,2,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043242.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1546
景觀建築學系產品設計組,中華大學景觀建築學系產品設計組(043252),12,不要求,48,1,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043252.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1546
土木工程學系、土木,中華大學土木工程學系(043262),33,不要求,99,3,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043262.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1542
行政管理學系,中華大學行政管理學系(043272),26,不要求,78,3,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043272.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1521
應用日語學系（商務觀光組）、日文,中華大學應用日語學系（商務觀光組）(043282),18,不要求,54,2,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043282.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1518
應用日語學系（語文翻譯組）、日文,中華大學應用日語學系（語文翻譯組）(043292),17,不要求,51,2,無,無,750,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043292.htm?v=1.0,https://www.unews.com.tw/School/Department/59/1518
觀光學院學士班,中華大學觀光學院學士班(智慧旅館餐飲管理組)(043302),17,不要求,51,2,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043302.htm?v=1.0,https://www.unews.com.tw/School/Info/59
觀光學院學士班,中華大學觀光學院學士班(智慧會展活動管理組)(043312),18,不要求,54,2,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043312.htm?v=1.0,https://www.unews.com.tw/School/Info/59
觀光學院學士班,中華大學觀光學院學士班(智慧觀光旅遊組)(043322),17,不要求,51,2,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043322.htm?v=1.0,https://www.unews.com.tw/School/Info/59
英國西英格蘭大學企業管理雙學士學位學程、企管,中華大學英國西英格蘭大學企業管理雙學士學位學程(043332),6,不要求,48,無,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043332.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3624
中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程、資管,中華大學中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程(043342),3,不要求,50,無,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043342.htm?v=1.0,https://www.unews.com.tw/School/Info/59
國際觀光與酒店管理雙學士學位學程,中華大學國際觀光與酒店管理雙學士學位學程(043352),2,不要求,50,無,無,無,750,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_043352.htm?v=1.0,https://www.unews.com.tw/School/Department/59/3756
