搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
會計學系、會計,靜宜大學會計學系,1814,國文(學測)x2.00,數學B(學測)x1.00,公民與社會(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=01814,https://www.com.tw/exam/university_018_111.html
資訊傳播工程學系(元宇宙多媒體遊戲組,靜宜大學資訊傳播工程學系(元宇宙多媒體遊戲組),1815,數學B(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E5%85%83%E5%AE%87%E5%AE%99%E5%A4%9A%E5%AA%92%E9%AB%94%E9%81%8A%E6%88%B2%E7%B5%84)&id=01815,https://www.com.tw/exam/university_018_111.html
企業管理學系、企管,靜宜大學企業管理學系,1816,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01816,https://www.com.tw/exam/university_018_111.html
國際企業學系(國際貿易與運籌組、國企,靜宜大學國際企業學系(國際貿易與運籌組),1817,英文(學測)x1.50,國文(學測)x1.50,地理(分科)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E5%AD%B8%E7%B3%BB(%E5%9C%8B%E9%9A%9B%E8%B2%BF%E6%98%93%E8%88%87%E9%81%8B%E7%B1%8C%E7%B5%84)&id=01817,https://www.com.tw/exam/university_018_111.html
資訊管理學系(軟體開發與物聯網應用組、資管,靜宜大學資訊管理學系(軟體開發與物聯網應用組),1818,數學B(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%BB%9F%E9%AB%94%E9%96%8B%E7%99%BC%E8%88%87%E7%89%A9%E8%81%AF%E7%B6%B2%E6%87%89%E7%94%A8%E7%B5%84)&id=01818,https://www.com.tw/exam/university_018_111.html
觀光事業學系(甲組,靜宜大學觀光事業學系(甲組),1821,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E4%BA%8B%E6%A5%AD%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=01821,https://www.com.tw/exam/university_018_111.html
財務金融學系(金融管理組、財金,靜宜大學財務金融學系(金融管理組),1822,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E9%87%91%E8%9E%8D%E7%AE%A1%E7%90%86%E7%B5%84)&id=01822,https://www.com.tw/exam/university_018_111.html
財務工程學系,靜宜大學財務工程學系,1823,數學B(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01823,https://www.com.tw/exam/university_018_111.html
資料科學暨大數據分析與應用學系,靜宜大學資料科學暨大數據分析與應用學系,1825,數學B(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E6%9A%A8%E5%A4%A7%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90%E8%88%87%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB&id=01825,https://www.com.tw/exam/university_018_111.html
食品營養學系營養與保健組,靜宜大學食品營養學系營養與保健組,1826,自然(學測)x2.00,國文(學測)x2.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB%E7%87%9F%E9%A4%8A%E8%88%87%E4%BF%9D%E5%81%A5%E7%B5%84&id=01826,https://www.com.tw/exam/university_018_111.html
食品營養學系食品與生物技術組,靜宜大學食品營養學系食品與生物技術組,1827,自然(學測)x2.00,國文(學測)x2.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB%E9%A3%9F%E5%93%81%E8%88%87%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E7%B5%84&id=01827,https://www.com.tw/exam/university_018_111.html
化粧品科學系,靜宜大學化粧品科學系,1828,化學(分科)x2.00,國文(學測)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E5%8C%96%E7%B2%A7%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB&id=01828,https://www.com.tw/exam/university_018_111.html
大眾傳播學系、大傳,靜宜大學大眾傳播學系,1829,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E5%A4%A7%E7%9C%BE%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=01829,https://www.com.tw/exam/university_018_111.html
寰宇管理學士學位學程,靜宜大學寰宇管理學士學位學程,1830,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E5%AF%B0%E5%AE%87%E7%AE%A1%E7%90%86%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=01830,https://www.com.tw/exam/university_018_111.html
財務金融學系(投資管理組、財金,靜宜大學財務金融學系(投資管理組),1831,國文(學測)x2.00,英文(學測)x1.50,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E6%8A%95%E8%B3%87%E7%AE%A1%E7%90%86%E7%B5%84)&id=01831,https://www.com.tw/exam/university_018_111.html
資訊管理學系(行動商務與智慧企業組、資管,靜宜大學資訊管理學系(行動商務與智慧企業組),1832,數學B(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%A1%8C%E5%8B%95%E5%95%86%E5%8B%99%E8%88%87%E6%99%BA%E6%85%A7%E4%BC%81%E6%A5%AD%E7%B5%84)&id=01832,https://www.com.tw/exam/university_018_111.html
資訊工程學系(智慧晶片與機器人組、資工,靜宜大學資訊工程學系(智慧晶片與機器人組),1834,數學B(學測)x1.50,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E6%99%B6%E7%89%87%E8%88%87%E6%A9%9F%E5%99%A8%E4%BA%BA%E7%B5%84)&id=01834,https://www.com.tw/exam/university_018_111.html
資訊工程學系(物聯網與大數據組、資工,靜宜大學資訊工程學系(物聯網與大數據組),1835,數學B(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E7%89%A9%E8%81%AF%E7%B6%B2%E8%88%87%E5%A4%A7%E6%95%B8%E6%93%9A%E7%B5%84)&id=01835,https://www.com.tw/exam/university_018_111.html
資訊傳播工程學系(人工智慧互動科技組,靜宜大學資訊傳播工程學系(人工智慧互動科技組),1838,數學B(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E4%BA%92%E5%8B%95%E7%A7%91%E6%8A%80%E7%B5%84)&id=01838,https://www.com.tw/exam/university_018_111.html
觀光事業學系(乙組,靜宜大學觀光事業學系(乙組),1839,地理(分科)x2.00,歷史(分科)x2.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E4%BA%8B%E6%A5%AD%E5%AD%B8%E7%B3%BB(%E4%B9%99%E7%B5%84)&id=01839,https://www.com.tw/exam/university_018_111.html
觀光事業學系(丙組,靜宜大學觀光事業學系(丙組),1840,地理(分科)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E4%BA%8B%E6%A5%AD%E5%AD%B8%E7%B3%BB(%E4%B8%99%E7%B5%84)&id=01840,https://www.com.tw/exam/university_018_111.html
寰宇外語教育學士學位學程,靜宜大學寰宇外語教育學士學位學程,1841,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E5%AF%B0%E5%AE%87%E5%A4%96%E8%AA%9E%E6%95%99%E8%82%B2%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=01841,https://www.com.tw/exam/university_018_111.html
