搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
族群關係與文化學系,國立東華大學族群關係與文化學系,3435,公民與社會(分科)x2.00,國文(學測)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%97%8F%E7%BE%A4%E9%97%9C%E4%BF%82%E8%88%87%E6%96%87%E5%8C%96%E5%AD%B8%E7%B3%BB&id=03435,https://www.com.tw/exam/university_034_111.html
民族語言與傳播學系,國立東華大學民族語言與傳播學系,3436,國文(學測)x1.00,社會(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%B0%91%E6%97%8F%E8%AA%9E%E8%A8%80%E8%88%87%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=03436,https://www.com.tw/exam/university_034_111.html
公共行政學系,國立東華大學公共行政學系,3437,國文(學測)x2.00,公民與社會(分科)x2.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%8C%E6%94%BF%E5%AD%B8%E7%B3%BB&id=03437,https://www.com.tw/exam/university_034_111.html
法律學系,國立東華大學法律學系,3438,英文(學測)x1.00,公民與社會(分科)x1.50,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=03438,https://www.com.tw/exam/university_034_111.html
管理學院管理科學與財金國際學士學位學程,國立東華大學管理學院管理科學與財金國際學士學位學程,3439,英文(學測)x2.00,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E7%AE%A1%E7%90%86%E7%A7%91%E5%AD%B8%E8%88%87%E8%B2%A1%E9%87%91%E5%9C%8B%E9%9A%9B%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=03439,https://www.com.tw/exam/university_034_111.html
縱谷跨域書院學士學位學程,國立東華大學縱谷跨域書院學士學位學程,3440,國文(學測)x2.00,公民與社會(分科)x1.75,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%B8%B1%E8%B0%B7%E8%B7%A8%E5%9F%9F%E6%9B%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=03440,https://www.com.tw/exam/university_034_111.html
原住民族樂舞與藝術學士學位學程,國立東華大學原住民族樂舞與藝術學士學位學程,3441,國文(學測)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%8E%9F%E4%BD%8F%E6%B0%91%E6%97%8F%E6%A8%82%E8%88%9E%E8%88%87%E8%97%9D%E8%A1%93%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=03441,https://www.com.tw/exam/university_034_111.html
電機工程學系半導體工程組、電機,國立東華大學電機工程學系半導體工程組,3442,物理(分科)x1.00,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E5%8D%8A%E5%B0%8E%E9%AB%94%E5%B7%A5%E7%A8%8B%E7%B5%84&id=03442,https://www.com.tw/exam/university_034_111.html
自然資源與環境學系生態與保育組,國立東華大學自然資源與環境學系生態與保育組,3443,生物(分科)x2.00,國文(學測)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%87%AA%E7%84%B6%E8%B3%87%E6%BA%90%E8%88%87%E7%92%B0%E5%A2%83%E5%AD%B8%E7%B3%BB%E7%94%9F%E6%85%8B%E8%88%87%E4%BF%9D%E8%82%B2%E7%B5%84&id=03443,https://www.com.tw/exam/university_034_111.html
自然資源與環境學系地球科學組,國立東華大學自然資源與環境學系地球科學組,3444,化學(分科)x2.00,國文(學測)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%87%AA%E7%84%B6%E8%B3%87%E6%BA%90%E8%88%87%E7%92%B0%E5%A2%83%E5%AD%B8%E7%B3%BB%E5%9C%B0%E7%90%83%E7%A7%91%E5%AD%B8%E7%B5%84&id=03444,https://www.com.tw/exam/university_034_111.html
民族社會工作學士學位學程、社工,國立東華大學民族社會工作學士學位學程,3445,公民與社會(分科)x2.00,社會(學測)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%B0%91%E6%97%8F%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=03445,https://www.com.tw/exam/university_034_111.html
資訊工程學系國際組、資工,國立東華大學資訊工程學系國際組,3446,英文(學測)x1.50,數學甲(分科)x1.25,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E5%9C%8B%E9%9A%9B%E7%B5%84&id=03446,https://www.com.tw/exam/university_034_111.html
諮商與臨床心理學系(社會組,國立東華大學諮商與臨床心理學系(社會組),3447,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%AB%AE%E5%95%86%E8%88%87%E8%87%A8%E5%BA%8A%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=03447,https://www.com.tw/exam/university_034_111.html
管理學院會計與資訊管理國際學士班、資管,國立東華大學管理學院會計與資訊管理國際學士班,3448,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E6%9C%83%E8%A8%88%E8%88%87%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%9C%8B%E9%9A%9B%E5%AD%B8%E5%A3%AB%E7%8F%AD&id=03448,https://www.com.tw/exam/university_034_111.html
