搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
法律學系財經法學組,國立臺灣大學法律學系財經法學組,113,英文(學測)x1.00,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.25,歷史(分科)x1.00,國文(頂標)英文(頂標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E8%B2%A1%E7%B6%93%E6%B3%95%E5%AD%B8%E7%B5%84&id=00113,https://www.com.tw/exam/university_001_111.html
社會工作學系、社工,國立臺灣大學社會工作學系,114,英文(學測)x1.25,國文(學測)x1.25,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=00114,https://www.com.tw/exam/university_001_111.html
社會學系,國立臺灣大學社會學系,115,英文(學測)x1.00,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB&id=00115,https://www.com.tw/exam/university_001_111.html
政治學系公共行政組,國立臺灣大學政治學系公共行政組,116,英文(學測)x1.25,國文(學測)x1.25,社會(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB%E5%85%AC%E5%85%B1%E8%A1%8C%E6%94%BF%E7%B5%84&id=00116,https://www.com.tw/exam/university_001_111.html
政治學系政治理論組,國立臺灣大學政治學系政治理論組,117,英文(學測)x1.25,國文(學測)x1.25,社會(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB%E6%94%BF%E6%B2%BB%E7%90%86%E8%AB%96%E7%B5%84&id=00117,https://www.com.tw/exam/university_001_111.html
政治學系國際關係組,國立臺灣大學政治學系國際關係組,118,英文(學測)x1.25,國文(學測)x1.25,社會(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB%E5%9C%8B%E9%9A%9B%E9%97%9C%E4%BF%82%E7%B5%84&id=00118,https://www.com.tw/exam/university_001_111.html
經濟學系A組,國立臺灣大學經濟學系A組,119,數學甲(分科)x2.00,英文(學測)x1.50,自然(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00119,https://www.com.tw/exam/university_001_111.html
工商管理學系企業管理組、企管,國立臺灣大學工商管理學系企業管理組A組,120,數學甲(分科)x1.00,英文(學測)x1.00,地理(分科)x1.00,歷史(分科)x1.00,數學A(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%B7%A5%E5%95%86%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E7%B5%84A%E7%B5%84&id=00120,https://www.com.tw/exam/university_001_111.html
國際企業學系A組、國企,國立臺灣大學國際企業學系A組,121,英文(學測)x2.00,數學甲(分科)x1.00,公民與社會(分科)x1.00,--,---,數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00121,https://www.com.tw/exam/university_001_111.html
會計學系A組、會計,國立臺灣大學會計學系A組,122,數學甲(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00122,https://www.com.tw/exam/university_001_111.html
土木工程學系、土木,國立臺灣大學土木工程學系,123,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00123,https://www.com.tw/exam/university_001_111.html
工商管理學系科技管理組、工管,國立臺灣大學工商管理學系科技管理組,124,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,化學(分科)x1.00,數學A(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%B7%A5%E5%95%86%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E7%A7%91%E6%8A%80%E7%AE%A1%E7%90%86%E7%B5%84&id=00124,https://www.com.tw/exam/university_001_111.html
