搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
物理學系,國立中正大學物理學系,4119,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.25,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB&id=04119,https://www.com.tw/exam/university_041_111.html
心理學系,國立中正大學心理學系,4120,英文(學測)x1.50,數學甲(分科)x1.50,生物(分科)x1.25,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=04120,https://www.com.tw/exam/university_041_111.html
資訊工程學系、資工,國立中正大學資訊工程學系,4121,數學甲(分科)x1.25,英文(學測)x1.50,物理(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04121,https://www.com.tw/exam/university_041_111.html
電機工程學系甲組、電機,國立中正大學電機工程學系甲組,4122,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=04122,https://www.com.tw/exam/university_041_111.html
法律學系法學組,國立中正大學法律學系法學組,4123,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E6%B3%95%E5%AD%B8%E7%B5%84&id=04123,https://www.com.tw/exam/university_041_111.html
法律學系法制組,國立中正大學法律學系法制組,4124,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E6%B3%95%E5%88%B6%E7%B5%84&id=04124,https://www.com.tw/exam/university_041_111.html
財經法律學系,國立中正大學財經法律學系,4125,國文(學測)x1.50,英文(學測)x1.50,公民與社會(分科)x1.00,歷史(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E8%B2%A1%E7%B6%93%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=04125,https://www.com.tw/exam/university_041_111.html
勞工關係學系,國立中正大學勞工關係學系,4126,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.50,數學B(學測)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%8B%9E%E5%B7%A5%E9%97%9C%E4%BF%82%E5%AD%B8%E7%B3%BB&id=04126,https://www.com.tw/exam/university_041_111.html
化學工程學系、化工,國立中正大學化學工程學系,4127,數學甲(分科)x1.50,物理(分科)x1.50,化學(分科)x1.25,--,---,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04127,https://www.com.tw/exam/university_041_111.html
通訊工程學系,國立中正大學通訊工程學系,4128,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E9%80%9A%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04128,https://www.com.tw/exam/university_041_111.html
生物醫學科學系、生醫,國立中正大學生物醫學科學系,4129,英文(學測)x1.25,化學(分科)x1.50,生物(分科)x1.50,國文(學測)x1.00,數學甲(分科)x1.00,英文(均標)自然(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E7%A7%91%E5%AD%B8%E7%B3%BB&id=04129,https://www.com.tw/exam/university_041_111.html
運動競技學系,國立中正大學運動競技學系,4130,英文(學測)x2.00,國文(學測)x2.00,生物(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E7%AB%B6%E6%8A%80%E5%AD%B8%E7%B3%BB&id=04130,https://www.com.tw/exam/university_041_111.html
電機工程學系乙組、電機,國立中正大學電機工程學系乙組,4131,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=04131,https://www.com.tw/exam/university_041_111.html
會計與資訊科技學系乙組、會計,國立中正大學會計與資訊科技學系乙組,4132,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E8%88%87%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=04132,https://www.com.tw/exam/university_041_111.html
機械工程學系光機電整合工程組、機械,國立中正大學機械工程學系光機電整合工程組,4133,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E5%85%89%E6%A9%9F%E9%9B%BB%E6%95%B4%E5%90%88%E5%B7%A5%E7%A8%8B%E7%B5%84&id=04133,https://www.com.tw/exam/university_041_111.html
