搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
行動商務與多媒體應用學系(行動商務組,亞洲大學行動商務與多媒體應用學系(行動商務組),13426,英文(學測)x1.00,國文(學測)x2.00,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%A1%8C%E5%8B%95%E5%95%86%E5%8B%99%E8%88%87%E5%A4%9A%E5%AA%92%E9%AB%94%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB(%E8%A1%8C%E5%8B%95%E5%95%86%E5%8B%99%E7%B5%84)&id=13426,https://www.com.tw/exam/university_134_111.html
生物資訊與醫學工程學系(醫學工程組,亞洲大學生物資訊與醫學工程學系(醫學工程組),13427,數學A(學測)x1.00,物理(分科)x2.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E8%B3%87%E8%A8%8A%E8%88%87%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E7%B5%84)&id=13427,https://www.com.tw/exam/university_134_111.html
心理學系(工商與社會心理組,亞洲大學心理學系(工商與社會心理組),13428,英文(學測)x2.00,國文(學測)x2.00,地理(分科)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%B7%A5%E5%95%86%E8%88%87%E7%A4%BE%E6%9C%83%E5%BF%83%E7%90%86%E7%B5%84)&id=13428,https://www.com.tw/exam/university_134_111.html
財務金融學系(金融科技組、財金,亞洲大學財務金融學系(金融科技組),13431,國文(學測)x1.00,地理(分科)x2.00,數學B(學測)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E9%87%91%E8%9E%8D%E7%A7%91%E6%8A%80%E7%B5%84)&id=13431,https://www.com.tw/exam/university_134_111.html
護理學系(高齡長期照護組,亞洲大學護理學系(高齡長期照護組),13432,國文(學測)x1.00,化學(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB(%E9%AB%98%E9%BD%A1%E9%95%B7%E6%9C%9F%E7%85%A7%E8%AD%B7%E7%B5%84)&id=13432,https://www.com.tw/exam/university_134_111.html
經營管理學系,亞洲大學經營管理學系,13433,國文(學測)x1.00,英文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E7%B6%93%E7%87%9F%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=13433,https://www.com.tw/exam/university_134_111.html
社會工作學系(醫務社工與長期照顧雙專業組、社工,亞洲大學社會工作學系(醫務社工與長期照顧雙專業組),13438,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB(%E9%86%AB%E5%8B%99%E7%A4%BE%E5%B7%A5%E8%88%87%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E9%9B%99%E5%B0%88%E6%A5%AD%E7%B5%84)&id=13438,https://www.com.tw/exam/university_134_111.html
社會工作學系(社工心理雙專業組、社工,亞洲大學社會工作學系(社工心理雙專業組),13440,國文(學測)x2.00,公民與社會(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E5%B7%A5%E5%BF%83%E7%90%86%E9%9B%99%E5%B0%88%E6%A5%AD%E7%B5%84)&id=13440,https://www.com.tw/exam/university_134_111.html
醫學檢驗暨生物技術學系(生物技術組、醫檢,亞洲大學醫學檢驗暨生物技術學系(生物技術組),13442,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%AA%A2%E9%A9%97%E6%9A%A8%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB(%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E7%B5%84)&id=13442,https://www.com.tw/exam/university_134_111.html
室內設計學系(商業空間組,亞洲大學室內設計學系(商業空間組),13445,歷史(分科)x2.00,英文(學測)x1.50,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%AE%A4%E5%85%A7%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E5%95%86%E6%A5%AD%E7%A9%BA%E9%96%93%E7%B5%84)&id=13445,https://www.com.tw/exam/university_134_111.html
室內設計學系(住宅空間組,亞洲大學室內設計學系(住宅空間組),13446,歷史(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%AE%A4%E5%85%A7%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E4%BD%8F%E5%AE%85%E7%A9%BA%E9%96%93%E7%B5%84)&id=13446,https://www.com.tw/exam/university_134_111.html
室內設計學系(智慧空間組,亞洲大學室內設計學系(智慧空間組),13447,地理(分科)x1.00,國文(學測)x1.50,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%AE%A4%E5%85%A7%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E7%A9%BA%E9%96%93%E7%B5%84)&id=13447,https://www.com.tw/exam/university_134_111.html
心理學系(心理師研修組,亞洲大學心理學系(心理師研修組),13448,數學A(學測)x1.00,英文(學測)x2.00,國文(學測)x2.00,生物(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%BF%83%E7%90%86%E5%B8%AB%E7%A0%94%E4%BF%AE%E7%B5%84)&id=13448,https://www.com.tw/exam/university_134_111.html
護理學系(國際護理組,亞洲大學護理學系(國際護理組),13450,英文(學測)x1.50,數學A(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB(%E5%9C%8B%E9%9A%9B%E8%AD%B7%E7%90%86%E7%B5%84)&id=13450,https://www.com.tw/exam/university_134_111.html
視光學系,亞洲大學視光學系,13451,英文(學測)x1.00,生物(分科)x1.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%A6%96%E5%85%89%E5%AD%B8%E7%B3%BB&id=13451,https://www.com.tw/exam/university_134_111.html
護理學系(臨床照護組,亞洲大學護理學系(臨床照護組),13453,國文(學測)x1.00,化學(分科)x1.00,數學A(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%87%A8%E5%BA%8A%E7%85%A7%E8%AD%B7%E7%B5%84)&id=13453,https://www.com.tw/exam/university_134_111.html
聽力暨語言治療學系,亞洲大學聽力暨語言治療學系,13454,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%81%BD%E5%8A%9B%E6%9A%A8%E8%AA%9E%E8%A8%80%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=13454,https://www.com.tw/exam/university_134_111.html
職能治療學系、職治,亞洲大學職能治療學系,13455,英文(學測)x2.00,生物(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%BA%9E%E6%B4%B2%E5%A4%A7%E5%AD%B8%E8%81%B7%E8%83%BD%E6%B2%BB%E7%99%82%E5%AD%B8%E7%B3%BB&id=13455,https://www.com.tw/exam/university_134_111.html
