搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
政治學系政治理論組,東海大學政治學系政治理論組,935,公民與社會(分科)x2.00,英文(學測)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB%E6%94%BF%E6%B2%BB%E7%90%86%E8%AB%96%E7%B5%84&id=00935,https://www.com.tw/exam/university_009_111.html
政治學系國際關係組,東海大學政治學系國際關係組,936,公民與社會(分科)x2.00,英文(學測)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB%E5%9C%8B%E9%9A%9B%E9%97%9C%E4%BF%82%E7%B5%84&id=00936,https://www.com.tw/exam/university_009_111.html
社會學系,東海大學社會學系,937,公民與社會(分科)x2.00,社會(學測)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB&id=00937,https://www.com.tw/exam/university_009_111.html
化學系化學生物組,東海大學化學系化學生物組,938,化學(分科)x2.00,英文(學測)x1.00,自然(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB%E5%8C%96%E5%AD%B8%E7%94%9F%E7%89%A9%E7%B5%84&id=00938,https://www.com.tw/exam/university_009_111.html
畜產與生物科技學系,東海大學畜產與生物科技學系,939,生物(分科)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%95%9C%E7%94%A2%E8%88%87%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB&id=00939,https://www.com.tw/exam/university_009_111.html
工業設計學系(B組,東海大學工業設計學系(B組),940,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00940,https://www.com.tw/exam/university_009_111.html
餐旅管理學系,東海大學餐旅管理學系,941,英文(學測)x1.50,數學B(學測)x1.25,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E9%A4%90%E6%97%85%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=00941,https://www.com.tw/exam/university_009_111.html
生命科學系生態暨生物多樣性組、生科,東海大學生命科學系生態暨生物多樣性組,942,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB%E7%94%9F%E6%85%8B%E6%9A%A8%E7%94%9F%E7%89%A9%E5%A4%9A%E6%A8%A3%E6%80%A7%E7%B5%84&id=00942,https://www.com.tw/exam/university_009_111.html
資訊工程學系(軟體工程組、資工,東海大學資訊工程學系(軟體工程組),943,英文(學測)x2.00,物理(分科)x2.00,國文(學測)x1.50,--,---,數學A(後標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E7%B5%84)&id=00943,https://www.com.tw/exam/university_009_111.html
資訊工程學系(人工智慧組、資工,東海大學資訊工程學系(人工智慧組),944,數學A(學測)x2.00,英文(學測)x2.00,物理(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E7%B5%84)&id=00944,https://www.com.tw/exam/university_009_111.html
工業工程與經營資訊學系(智慧經營與管理組、工工,東海大學工業工程與經營資訊學系(智慧經營與管理組),949,英文(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.75,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E5%B7%A5%E7%A8%8B%E8%88%87%E7%B6%93%E7%87%9F%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB(%E6%99%BA%E6%85%A7%E7%B6%93%E7%87%9F%E8%88%87%E7%AE%A1%E7%90%86%E7%B5%84)&id=00949,https://www.com.tw/exam/university_009_111.html
食品科學系(B組,東海大學食品科學系(B組),950,化學(分科)x2.00,國文(學測)x1.50,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00950,https://www.com.tw/exam/university_009_111.html
建築學系(B組,東海大學建築學系(B組),951,數學B(學測)x1.50,歷史(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00951,https://www.com.tw/exam/university_009_111.html
國際學院國際經營管理學位學程,東海大學國際學院國際經營管理學位學程,954,英文(學測)x2.00,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E5%AD%B8%E9%99%A2%E5%9C%8B%E9%9A%9B%E7%B6%93%E7%87%9F%E7%AE%A1%E7%90%86%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=00954,https://www.com.tw/exam/university_009_111.html
永續科學與管理學士學位學程,東海大學永續科學與管理學士學位學程,956,英文(學測)x2.00,自然(學測)x1.00,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%B0%B8%E7%BA%8C%E7%A7%91%E5%AD%B8%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=00956,https://www.com.tw/exam/university_009_111.html
景觀學系(B組,東海大學景觀學系(B組),960,英文(學測)x1.50,國文(學測)x1.00,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%99%AF%E8%A7%80%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00960,https://www.com.tw/exam/university_009_111.html
