搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
休閒運動學系,國立臺灣體育運動大學休閒運動學系,6001,體育(術科)x2.00,國文(學測)x2.00,英文(學測)x2.00,地理(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E9%81%8B%E5%8B%95%E5%AD%B8%E7%B3%BB&id=06001,https://www.com.tw/exam/university_060_111.html
體育學系,國立臺灣體育運動大學體育學系,6002,體育(術科)x2.00,生物(分科)x2.00,數學B(學測)x1.00,英文(學測)x2.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=06002,https://www.com.tw/exam/university_060_111.html
運動事業管理學系,國立臺灣體育運動大學運動事業管理學系,6003,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E4%BA%8B%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=06003,https://www.com.tw/exam/university_060_111.html
運動健康科學系,國立臺灣體育運動大學運動健康科學系,6004,生物(分科)x2.00,化學(分科)x1.50,英文(學測)x2.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E5%81%A5%E5%BA%B7%E7%A7%91%E5%AD%B8%E7%B3%BB&id=06004,https://www.com.tw/exam/university_060_111.html
運動資訊與傳播學系,國立臺灣體育運動大學運動資訊與傳播學系,6005,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.75,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E8%B3%87%E8%A8%8A%E8%88%87%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=06005,https://www.com.tw/exam/university_060_111.html
