搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
航空事業學系,真理大學航空事業學系,7916,國文(學測)x1.25,社會(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%88%AA%E7%A9%BA%E4%BA%8B%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=07916,https://www.com.tw/exam/university_079_111.html
資訊工程學系乙組、資工,真理大學資訊工程學系乙組,7917,國文(學測)x2.00,社會(學測)x1.00,歷史(分科)x1.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=07917,https://www.com.tw/exam/university_079_111.html
統計資訊與精算學系,真理大學統計資訊與精算學系,7918,國文(學測)x2.00,英文(學測)x2.00,數學B(學測)x2.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E7%B5%B1%E8%A8%88%E8%B3%87%E8%A8%8A%E8%88%87%E7%B2%BE%E7%AE%97%E5%AD%B8%E7%B3%BB&id=07918,https://www.com.tw/exam/university_079_111.html
資訊工程學系甲組、資工,真理大學資訊工程學系甲組,7920,國文(學測)x2.00,社會(學測)x1.00,地理(分科)x1.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=07920,https://www.com.tw/exam/university_079_111.html
資訊管理學系電商行銷組、資管,真理大學資訊管理學系電商行銷組,7922,國文(學測)x1.50,地理(分科)x2.00,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E9%9B%BB%E5%95%86%E8%A1%8C%E9%8A%B7%E7%B5%84&id=07922,https://www.com.tw/exam/university_079_111.html
音樂應用學系-行政管理組,真理大學音樂應用學系-行政管理組,7923,英文(學測)x1.50,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB-%E8%A1%8C%E6%94%BF%E7%AE%A1%E7%90%86%E7%B5%84&id=07923,https://www.com.tw/exam/university_079_111.html
台灣文學系,真理大學台灣文學系,7924,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E5%8F%B0%E7%81%A3%E6%96%87%E5%AD%B8%E7%B3%BB&id=07924,https://www.com.tw/exam/university_079_111.html
觀光數位知識學系海洋遊憩組,真理大學觀光數位知識學系海洋遊憩組,7926,國文(學測)x2.00,地理(分科)x2.00,社會(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%95%B8%E4%BD%8D%E7%9F%A5%E8%AD%98%E5%AD%B8%E7%B3%BB%E6%B5%B7%E6%B4%8B%E9%81%8A%E6%86%A9%E7%B5%84&id=07926,https://www.com.tw/exam/university_079_111.html
觀光數位知識學系餐旅資訊組,真理大學觀光數位知識學系餐旅資訊組,7927,國文(學測)x2.00,公民與社會(分科)x2.00,社會(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%95%B8%E4%BD%8D%E7%9F%A5%E8%AD%98%E5%AD%B8%E7%B3%BB%E9%A4%90%E6%97%85%E8%B3%87%E8%A8%8A%E7%B5%84&id=07927,https://www.com.tw/exam/university_079_111.html
資訊管理學系資管應用組、資管,真理大學資訊管理學系資管應用組,7928,國文(學測)x1.50,歷史(分科)x2.00,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E8%B3%87%E7%AE%A1%E6%87%89%E7%94%A8%E7%B5%84&id=07928,https://www.com.tw/exam/university_079_111.html
觀光數位知識學系旅遊創新組,真理大學觀光數位知識學系旅遊創新組,7929,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%95%B8%E4%BD%8D%E7%9F%A5%E8%AD%98%E5%AD%B8%E7%B3%BB%E6%97%85%E9%81%8A%E5%89%B5%E6%96%B0%E7%B5%84&id=07929,https://www.com.tw/exam/university_079_111.html
法律學系,真理大學法律學系,7930,國文(學測)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=07930,https://www.com.tw/exam/university_079_111.html
資訊管理學系智慧商務組、資管,真理大學資訊管理學系智慧商務組,7931,國文(學測)x1.50,歷史(分科)x2.00,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E6%99%BA%E6%85%A7%E5%95%86%E5%8B%99%E7%B5%84&id=07931,https://www.com.tw/exam/university_079_111.html
運動資訊傳播學系,真理大學運動資訊傳播學系,7932,國文(學測)x2.00,社會(學測)x1.50,歷史(分科)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=07932,https://www.com.tw/exam/university_079_111.html
人文與資訊學系,真理大學人文與資訊學系,7935,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E7%9C%9F%E7%90%86%E5%A4%A7%E5%AD%B8%E4%BA%BA%E6%96%87%E8%88%87%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=07935,https://www.com.tw/exam/university_079_111.html
