搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
經濟學系(社會組,國立政治大學經濟學系(社會組),616,數學A(學測)x2.00,英文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=00616,https://www.com.tw/exam/university_006_111.html
企業管理學系(A組、企管,國立政治大學企業管理學系(A組),617,數學A(學測)x1.00,英文(學測)x1.00,國文(學測)x1.00,地理(分科)x1.50,歷史(分科)x1.50,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=00617,https://www.com.tw/exam/university_006_111.html
金融學系(社會組,國立政治大學金融學系(社會組),618,數學A(學測)x2.00,英文(學測)x2.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=00618,https://www.com.tw/exam/university_006_111.html
風險管理與保險學系(B組,國立政治大學風險管理與保險學系(B組),619,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E9%A2%A8%E9%9A%AA%E7%AE%A1%E7%90%86%E8%88%87%E4%BF%9D%E9%9A%AA%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00619,https://www.com.tw/exam/university_006_111.html
財務管理學系(B組,國立政治大學財務管理學系(B組),620,數學甲(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00620,https://www.com.tw/exam/university_006_111.html
國際經營與貿易學系(A組,國立政治大學國際經營與貿易學系(A組),621,英文(學測)x2.00,數學A(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E7%B6%93%E7%87%9F%E8%88%87%E8%B2%BF%E6%98%93%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=00621,https://www.com.tw/exam/university_006_111.html
統計學系(A組,國立政治大學統計學系(A組),622,數學甲(分科)x2.00,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E7%B5%B1%E8%A8%88%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=00622,https://www.com.tw/exam/university_006_111.html
會計學系(B組、會計,國立政治大學會計學系(B組),623,英文(學測)x2.00,數學甲(分科)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=00623,https://www.com.tw/exam/university_006_111.html
資訊管理學系(社會組、資管,國立政治大學資訊管理學系(社會組),624,數學A(學測)x2.00,英文(學測)x2.00,國文(學測)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,社會(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=00624,https://www.com.tw/exam/university_006_111.html
資訊管理學系(自然組、資管,國立政治大學資訊管理學系(自然組),625,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,自然(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=00625,https://www.com.tw/exam/university_006_111.html
