搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
工業工程與管理學系(A組、工工,元智大學工業工程與管理學系(A組),4014,數學甲(分科)x1.25,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E5%B7%A5%E7%A8%8B%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=04014,https://www.com.tw/exam/university_040_111.html
資訊管理學系(A組、資管,元智大學資訊管理學系(A組),4017,英文(學測)x2.00,數學B(學測)x1.75,國文(學測)x1.75,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=04017,https://www.com.tw/exam/university_040_111.html
資訊傳播學系科技組,元智大學資訊傳播學系科技組(互動媒體與遊戲設計),4019,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB%E7%A7%91%E6%8A%80%E7%B5%84(%E4%BA%92%E5%8B%95%E5%AA%92%E9%AB%94%E8%88%87%E9%81%8A%E6%88%B2%E8%A8%AD%E8%A8%88)&id=04019,https://www.com.tw/exam/university_040_111.html
管理學院學士班(英語專班)、英文,元智大學管理學院學士班(英語專班),4020,英文(學測)x1.25,公民與社會(分科)x1.50,國文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E7%8F%AD(%E8%8B%B1%E8%AA%9E%E5%B0%88%E7%8F%AD)&id=04020,https://www.com.tw/exam/university_040_111.html
藝術與設計學系,元智大學藝術與設計學系,4021,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%97%9D%E8%A1%93%E8%88%87%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=04021,https://www.com.tw/exam/university_040_111.html
電機工程學系(丙組、電機,元智大學電機工程學系(丙組),4022,數學甲(分科)x1.25,物理(分科)x1.25,英文(學測)x1.00,國文(學測)x1.75,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E4%B8%99%E7%B5%84)&id=04022,https://www.com.tw/exam/university_040_111.html
電機工程學系(乙組、電機,元智大學電機工程學系(乙組),4023,數學甲(分科)x1.00,自然(學測)x1.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E4%B9%99%E7%B5%84)&id=04023,https://www.com.tw/exam/university_040_111.html
工業工程與管理學系(B組、工工,元智大學工業工程與管理學系(B組),4024,英文(學測)x1.50,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E5%B7%A5%E7%A8%8B%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=04024,https://www.com.tw/exam/university_040_111.html
資訊管理學系(B組、資管,元智大學資訊管理學系(B組),4026,英文(學測)x2.00,數學A(學測)x1.75,國文(學測)x1.75,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(B%E7%B5%84)&id=04026,https://www.com.tw/exam/university_040_111.html
人文社會學院英語學士班、人社,元智大學人文社會學院英語學士班,4029,英文(學測)x2.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E4%BA%BA%E6%96%87%E7%A4%BE%E6%9C%83%E5%AD%B8%E9%99%A2%E8%8B%B1%E8%AA%9E%E5%AD%B8%E5%A3%AB%E7%8F%AD&id=04029,https://www.com.tw/exam/university_040_111.html
工程學院英語學士班、英文,元智大學工程學院英語學士班,4030,英文(學測)x2.00,國文(學測)x1.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E9%99%A2%E8%8B%B1%E8%AA%9E%E5%AD%B8%E5%A3%AB%E7%8F%AD&id=04030,https://www.com.tw/exam/university_040_111.html
資訊學院英語學士班、英文,元智大學資訊學院英語學士班,4031,數學A(學測)x1.00,英文(學測)x1.00,物理(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%AD%B8%E9%99%A2%E8%8B%B1%E8%AA%9E%E5%AD%B8%E5%A3%AB%E7%8F%AD&id=04031,https://www.com.tw/exam/university_040_111.html
電機通訊學院英語學士班、英文,元智大學電機通訊學院英語學士班,4032,英文(學測)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,國文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E9%80%9A%E8%A8%8A%E5%AD%B8%E9%99%A2%E8%8B%B1%E8%AA%9E%E5%AD%B8%E5%A3%AB%E7%8F%AD&id=04032,https://www.com.tw/exam/university_040_111.html
資訊傳播學系設計組,元智大學資訊傳播學系設計組(美術組),4033,美術(術科)x1.00,國文(學測)x1.00,英文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB%E8%A8%AD%E8%A8%88%E7%B5%84(%E7%BE%8E%E8%A1%93%E7%B5%84)&id=04033,https://www.com.tw/exam/university_040_111.html
