搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
環境科學與工程學系,東海大學環境科學與工程學系(00931),12,2,第二類學群,15,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00931.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1148?t=2
資訊工程學系、資工,東海大學資訊工程學系(00932),32,3,第二類學群,15,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00932.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3471?t=2
電機工程學系、電機,東海大學電機工程學系(00933),19,2,第二類學群,15,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00933.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3404?t=2
統計學系,東海大學統計學系(巨量資料管理組)(00934),9,1,第二類學群,15,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00934.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1137?t=2
建築學系,東海大學建築學系(00935),1,無,第二類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00935.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1149?t=2
工業設計學系,東海大學工業設計學系(A組)(00936),2,無,第二類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00936.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1114?t=2
景觀學系,東海大學景觀學系(00937),9,無,第二類學群,15,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00937.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1150?t=2
永續科學與管理學士學位學程,東海大學永續科學與管理學士學位學程(00938),1,1,第二類學群,15,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00938.htm?v=1.0,https://www.unews.com.tw/School/Info/49
生命科學系生物醫學組、生醫,東海大學生命科學系生物醫學組(00939),7,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00939.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3540?t=2
生命科學系生態暨生物多樣性組、生科,東海大學生命科學系生態暨生物多樣性組(00940),6,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00940.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3540?t=2
畜產與生物科技學系,東海大學畜產與生物科技學系(00941),12,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00941.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1151?t=2
食品科學系,東海大學食品科學系(00942),14,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00942.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1152?t=2
高齡健康與運動科學學士學位學程,東海大學高齡健康與運動科學學士學位學程(00943),2,1,第三類學群,5,5,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00943.htm?v=1.0,https://www.unews.com.tw/School/Department/49/3492?t=2
音樂學系,東海大學音樂學系(00944),1,1,第四類學群,1,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00944.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1108?t=2
美術學系,東海大學美術學系(00945),2,無,第五類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_00945.htm?v=1.0,https://www.unews.com.tw/School/Department/49/1107?t=2
