搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
原子科學院學士班,國立清華大學原子科學院學士班(01125),6,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01125.htm?v=1.0,https://www.unews.com.tw/School/Department/2/78?t=2
化學工程學系、化工,國立清華大學化學工程學系(01126),9,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01126.htm?v=1.0,https://www.unews.com.tw/School/Department/2/72?t=2
動力機械工程學系、機械,國立清華大學動力機械工程學系(01127),14,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01127.htm?v=1.0,https://www.unews.com.tw/School/Department/2/71?t=2
材料科學工程學系,國立清華大學材料科學工程學系(01128),21,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01128.htm?v=1.0,https://www.unews.com.tw/School/Department/2/73?t=2
工業工程與工程管理學系、工工,國立清華大學工業工程與工程管理學系(01129),9,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01129.htm?v=1.0,https://www.unews.com.tw/School/Department/2/74?t=2
工學院學士班,國立清華大學工學院學士班(01130),5,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01130.htm?v=1.0,https://www.unews.com.tw/School/Department/2/79?t=2
電機工程學系甲組、電機,國立清華大學電機工程學系甲組(01131),1,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01131.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3501?t=2
電機工程學系乙組、電機,國立清華大學電機工程學系乙組(01132),33,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01132.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3501?t=2
資訊工程學系、資工,國立清華大學資訊工程學系(01133),19,1,第二類學群,21,10,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01133.htm?v=1.0,https://www.unews.com.tw/School/Department/2/40?t=2
電機資訊學院學士班,國立清華大學電機資訊學院學士班(01134),14,無,第二類學群,21,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01134.htm?v=1.0,https://www.unews.com.tw/School/Department/2/68?t=2
生命科學系、生科,國立清華大學生命科學系(01135),9,無,第三類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01135.htm?v=1.0,https://www.unews.com.tw/School/Department/2/56?t=2
醫學科學系,國立清華大學醫學科學系(01136),9,1,第三類學群,3,1,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01136.htm?v=1.0,https://www.unews.com.tw/School/Department/2/80?t=2
生命科學暨醫學院學士班、生科,國立清華大學生命科學暨醫學院學士班(01137),7,無,第三類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01137.htm?v=1.0,https://www.unews.com.tw/School/Info/2
藝術學院學士班,國立清華大學藝術學院學士班(科技藝術組)(01138),5,無,第五類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01138.htm?v=1.0,https://www.unews.com.tw/School/Department/2/84?t=2
藝術與設計學系創作組,國立清華大學藝術與設計學系創作組(01139),3,無,第五類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01139.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3499?t=2
藝術與設計學系設計組,國立清華大學藝術與設計學系設計組(01140),3,無,第五類學群,3,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01140.htm?v=1.0,https://www.unews.com.tw/School/Department/2/3499?t=2
